25 X 25 | 24 40.000000
25 X 25 | 25 30.000000
25 X 25 | 26 40.000000
25 X 25 | 27 25.000000
25 X 25 | 28 40.000000
25 X 25 | 29 20.000000
25 X 25 | 30 40.000000
25 X 25 | 31 30.000000
25 X 25 | 32 10.000000
25 X 25 | 33 25.000000
25 X 25 | 34 15.000000
25 X 25 | 35 25.000000
25 X 25 | 36 15.000000
25 X 25 | 37 5.000000
25 X 25 | 38 0.000000
25 X 25 | 39 0.000000
25 X 25 | 40 0.000000
25 X 25 | 41 10.000000
25 X 25 | 42 0.000000
25 X 25 | 43 0.000000
25 X 25 | 44 0.000000
25 X 25 | 45 0.000000
25 X 25 | 46 0.000000
25 X 25 | 47 0.000000
25 X 25 | 48 0.000000
25 X 25 | 49 0.000000
25 X 25 | 50 0.000000
25 X 25 | 51 0.000000
25 X 25 | 52 5.000000
25 X 25 | 53 0.000000
25 X 25 | 54 0.000000
25 X 25 | 55 0.000000
25 X 25 | 56 0.000000
25 X 25 | 57 0.000000
25 X 25 | 58 0.000000
25 X 25 | 59 0.000000
25 X 25 | 60 0.000000
25 X 25 | 61 0.000000
25 X 25 | 62 0.000000
25 X 25 | 63 0.000000
25 X 25 | 64 0.000000
25 X 25 | 65 0.000000
25 X 25 | 66 0.000000
25 X 25 | 67 0.000000
25 X 25 | 68 0.000000
25 X 25 | 69 0.000000
25 X 25 | 70 0.000000
25 X 25 | 71 0.000000
25 X 25 | 72 0.000000
25 X 25 | 73 0.000000
25 X 25 | 74 0.000000
25 X 25 | 75 0.000000
25 X 25 | 76 0.000000
25 X 25 | 77 0.000000
25 X 25 | 78 0.000000
25 X 25 | 79 0.000000
25 X 25 | 80 0.000000
25 X 25 | 81 0.000000
25 X 25 | 82 0.000000
25 X 25 | 83 0.000000
25 X 25 | 84 0.000000
25 X 25 | 85 0.000000
25 X 25 | 86 0.000000
25 X 25 | 87 0.000000
25 X 25 | 88 0.000000
25 X 25 | 89 0.000000
25 X 25 | 90 0.000000
25 X 25 | 91 0.000000
25 X 25 | 92 0.000000
25 X 25 | 93 0.000000
25 X 25 | 94 0.000000
25 X 25 | 95 0.000000
25 X 25 | 96 0.000000
25 X 25 | 97 0.000000
25 X 25 | 98 0.000000
25 X 25 | 99 0.000000
25 X 25 | 100 0.000000
30 X 30 | 1 0.000000
30 X 30 | 2 0.000000
30 X 30 | 3 0.000000
30 X 30 | 4 0.000000
30 X 30 | 5 0.000000
30 X 30 | 6 0.000000
30 X 30 | 7 0.000000
30 X 30 | 8 0.000000
30 X 30 | 9 0.000000
30 X 30 | 10 0.000000
30 X 30 | 11 5.000000
30 X 30 | 12 10.000000
30 X 30 | 13 25.000000
30 X 30 | 14 0.000000
30 X 30 | 15 15.000000
30 X 30 | 16 15.000000
30 X 30 | 17 20.000000
30 X 30 | 18 15.000000
30 X 30 | 19 35.000000
30 X 30 | 20 20.000000
30 X 30 | 21 45.000000
30 X 30 | 22 55.000000
30 X 30 | 23 25.000000
30 X 30 | 24 40.000000
30 X 30 | 25 30.000000
30 X 30 | 26 40.000000
30 X 30 | 27 15.000000
30 X 30 | 28 30.000000
30 X 30 | 29 15.000000
30 X 30 | 30 15.000000
30 X 30 | 31 15.000000
30 X 30 | 32 15.000000
